FACILITYID,flood_risk_area_m2,flood_risk_percent
10000293,933696.6514698083,23.597284226801726
10001424,191872.51525651076,5.178519764851252
10002118,0,0
10002115,0,0
10004484,299166.22527015395,8.352418806271407
10004260,6359.342293775947,0.17746310537329313
10000312,541210.4494646188,14.605829385086489
10000838,0,0
10006344,0,0
10004251,596627.6803974702,16.664826316705884
10002192,1491699.165362419,40.67241776801017
10006567,2268811.8456089916,63.399643756446814
10004248,3152206.4044558425,47.05865189553787
10000508,0,0
10004170,107501.41379289246,2.7968837001855174
10002633,1291794.7431576548,29.519754907123037
10000337,2463805.2223706767,45.94402484274712
10000388,721811.9421135855,14.815958064255822
10001766,149181.9330685685,3.1177678230514605
10001798,0,0
10002174,1909363.8906903982,40.4230595275201
10002177,3520001.3334063473,70.09658511821233
10004614,183478.41207951307,4.986891614954563
10004194,0,0
10006534,135721.11712052193,3.871608908195851
10001769,141065.16246791522,3.1288951445391753
10004210,112034.05367032,2.994179680849291
10002657,466395.0678999216,12.36523112325522
10000485,32415.12067009636,0.9134672861829457
10001797,0,0
10004190,1182889.1347107193,26.097594014633092
10000442,124365.58500565756,3.32604235403461
10000459,NA,NA
10004651,1010894.0110902212,29.535437712438295
10003507,714868.4072419488,12.148790720658535
10004625,1394828.869503211,39.977897881438075
10000498,1771166.7740316624,46.70689445021946
10006535,2896241.8057419583,55.418164476112366
10001709,NA,NA
10000463,1171260.7698991636,31.04832083214467
10000515,683462.0780468003,17.974610793644707
10002184,2264001.8021263843,63.50271581880831
10002182,520481.5566717569,15.007013997724474
10001705,NA,NA
10002157,817355.2304315345,22.18871948274918
10000390,4159068.2413544473,79.62227104328682
10001014,4893710.437685414,85.700974089071
10000363,135901.83202621664,3.736656788038807
10001720,990016.3779307038,25.369228031747877
10000345,0,0
10000374,1278864.937566429,36.994796899344685
10004569,1670190.3008605621,47.295582995235655
10004567,274951.2189619823,7.349934928024121
10000450,1349047.8121896128,37.54432901692649
10003496,0,0
10006330,2598732.564079887,71.10259440860435
10000400,1764822.8604767474,51.878422725394955
10001454,647001.6916211498,19.212057371509605
10001711,706638.8641194423,11.40340275472305
10004639,1532116.790482949,43.06997638166838
10004606,385111.6379818505,10.048273625349106
10004650,1465584.856923439,37.89903545303447
10003538,189460.6378265207,3.6716934334297604
10000480,0,0
10004611,3425179.936171052,99.21974899390061
10002178,1730839.9430811282,47.84444474456695
10006324,1081356.999611679,30.668356871890186
10004612,1218193.039541815,34.78833241492547
10001459,777985.31856121,22.606542535608064
10006664,1551844.7892089784,30.62636526872829
10001717,130756.57777330065,2.864666036307056
10003515,101664.70753907233,2.370487621921262
10003546,0,0
10006332,464029.45770169655,11.73553435961357
10001015,372686.31255239685,8.773642533399457
10004656,3145613.4302648557,75.42099030563084
10002716,28774.597357521718,0.5350165109938486
10001978,882896.4882767855,16.737292532343584
10000190,0,0
10001969,640418.5905772367,16.39169793912879
10000247,0,0
10001984,456268.3746217861,11.465759838997123
10000243,1075448.3410655153,26.122986047088876
10000154,488094.6031546409,9.161854859489729
10002726,0,0
10002905,227113.7841598356,4.27342439503078
10002920,0,0
10000151,0,0
10000174,0,0
10000246,1367174.1907082442,30.90369258087604
10000197,1132888.1843122512,22.35203863104823
10002893,630077.7861613048,13.480732215380305
10000198,1226126.4735234145,30.118223176847707
10002784,38206.38096261905,0.9116595818079984
10002822,425258.3794448843,8.250240350123061
