FACILITYID,trafficProx
10004576,0
10004557,0
10000339,0
10004555,0
10004575,0
10000395,32.202028862130334
10000396,12.442767862784953
10000968,0
10000956,0
10000561,72.56606146758078
10000567,0
10000864,0
10000563,NA
10000569,0
10000577,0
10000557,0
10000586,85.90626080655612
10000575,0
10000588,60.633599702890066
10002233,0
10000432,0
10004579,0
10000585,0
10002210,0
10005303,0
10000562,8.170289545865812
10002136,148.30027120822695
10004519,0
10004534,0
10000123,0
10000128,0
10003694,0
10003691,35845.24591137189
10003692,5519.803294067872
10000127,19.805873302940665
10001191,0
10000124,193.6997768898312
10000126,1537.9882626686074
10001180,0
10001063,0
10000464,84.61292499313032
10000471,173.43739850394172
10006333,NA
10003948,NA
10002164,172.7013404958393
10002165,15.35551455011912
10006336,NA
10000531,NA
10004571,NA
10000435,NA
10004657,0
10001460,732.024249285655
